,id_name,division_name,years,month,temp
397,0,Barisal,1934,2,20
398,0,Barisal,1934,3,25
399,0,Barisal,1934,4,27
400,0,Barisal,1934,5,28
401,0,Barisal,1934,6,27
402,0,Barisal,1934,7,28
403,0,Barisal,1934,8,28
404,0,Barisal,1934,9,28
405,0,Barisal,1934,10,26
406,0,Barisal,1934,11,22
407,0,Barisal,1934,12,19
408,0,Barisal,1935,1,17
409,0,Barisal,1935,2,20
410,0,Barisal,1935,3,25
411,0,Barisal,1935,4,27
412,0,Barisal,1935,5,29
413,0,Barisal,1935,6,28
414,0,Barisal,1935,7,28
415,0,Barisal,1935,8,27
416,0,Barisal,1935,9,28
417,0,Barisal,1935,10,26
418,0,Barisal,1935,11,23
419,0,Barisal,1935,12,19
420,0,Barisal,1936,1,17
421,0,Barisal,1936,2,19
422,0,Barisal,1936,3,25
423,0,Barisal,1936,4,28
424,0,Barisal,1936,5,27
425,0,Barisal,1936,6,27
426,0,Barisal,1936,7,27
427,0,Barisal,1936,8,28
428,0,Barisal,1936,9,27
429,0,Barisal,1936,10,26
430,0,Barisal,1936,11,23
431,0,Barisal,1936,12,19
432,0,Barisal,1937,1,17
433,0,Barisal,1937,2,20
434,0,Barisal,1937,3,24
435,0,Barisal,1937,4,28
436,0,Barisal,1937,5,27
437,0,Barisal,1937,6,28
438,0,Barisal,1937,7,28
439,0,Barisal,1937,8,27
440,0,Barisal,1937,9,28
441,0,Barisal,1937,10,26
442,0,Barisal,1937,11,22
443,0,Barisal,1937,12,19
444,0,Barisal,1938,1,19
445,0,Barisal,1938,2,19
446,0,Barisal,1938,3,26
447,0,Barisal,1938,4,29
448,0,Barisal,1938,5,27
449,0,Barisal,1938,6,27
450,0,Barisal,1938,7,27
451,0,Barisal,1938,8,28
452,0,Barisal,1938,9,28
453,0,Barisal,1938,10,27
454,0,Barisal,1938,11,21
455,0,Barisal,1938,12,18
456,0,Barisal,1939,1,18
457,0,Barisal,1939,2,21
458,0,Barisal,1939,3,24
459,0,Barisal,1939,4,28
460,0,Barisal,1939,5,28
461,0,Barisal,1939,6,28
462,0,Barisal,1939,7,27
463,0,Barisal,1939,8,27
464,0,Barisal,1939,9,27
465,0,Barisal,1939,10,26
466,0,Barisal,1939,11,22
467,0,Barisal,1939,12,19
468,0,Barisal,1940,1,17
469,0,Barisal,1940,2,20
470,0,Barisal,1940,3,23
471,0,Barisal,1940,4,27
472,0,Barisal,1940,5,27
473,0,Barisal,1940,6,28
474,0,Barisal,1940,7,27
475,0,Barisal,1940,8,28
476,0,Barisal,1940,9,27
477,0,Barisal,1940,10,27
478,0,Barisal,1940,11,23
479,0,Barisal,1940,12,19
480,0,Barisal,1941,1,18
481,0,Barisal,1941,2,20
482,0,Barisal,1941,3,26
483,0,Barisal,1941,4,28
484,0,Barisal,1941,5,28
485,0,Barisal,1941,6,27
486,0,Barisal,1941,7,28
487,0,Barisal,1941,8,28
488,0,Barisal,1941,9,28
489,0,Barisal,1941,10,26
490,0,Barisal,1941,11,22
491,0,Barisal,1941,12,20
492,0,Barisal,1942,1,18
493,0,Barisal,1942,2,20
494,0,Barisal,1942,3,25
495,0,Barisal,1942,4,27
496,0,Barisal,1942,5,28
497,0,Barisal,1942,6,28
498,0,Barisal,1942,7,28
499,0,Barisal,1942,8,27
500,0,Barisal,1942,9,27
501,0,Barisal,1942,10,27
502,0,Barisal,1942,11,23
503,0,Barisal,1942,12,19
504,0,Barisal,1943,1,19
505,0,Barisal,1943,2,19
506,0,Barisal,1943,3,24
507,0,Barisal,1943,4,26
508,0,Barisal,1943,5,28
509,0,Barisal,1943,6,27
510,0,Barisal,1943,7,27
511,0,Barisal,1943,8,27
512,0,Barisal,1943,9,28
513,0,Barisal,1943,10,27
514,0,Barisal,1943,11,23
515,0,Barisal,1943,12,20
516,0,Barisal,1944,1,18
517,0,Barisal,1944,2,20
518,0,Barisal,1944,3,25
519,0,Barisal,1944,4,26
520,0,Barisal,1944,5,29
521,0,Barisal,1944,6,28
522,0,Barisal,1944,7,28
523,0,Barisal,1944,8,28
524,0,Barisal,1944,9,27
525,0,Barisal,1944,10,26
526,0,Barisal,1944,11,22
527,0,Barisal,1944,12,20
528,0,Barisal,1945,1,18
529,0,Barisal,1945,2,19
530,0,Barisal,1945,3,25
531,0,Barisal,1945,4,27
532,0,Barisal,1945,5,27
533,0,Barisal,1945,6,28
534,0,Barisal,1945,7,28
535,0,Barisal,1945,8,28
536,0,Barisal,1945,9,28
537,0,Barisal,1945,10,26
538,0,Barisal,1945,11,22
539,0,Barisal,1945,12,18
540,0,Barisal,1946,1,18
541,0,Barisal,1946,2,22
542,0,Barisal,1946,3,25
543,0,Barisal,1946,4,26
544,0,Barisal,1946,5,27
545,0,Barisal,1946,6,27
546,0,Barisal,1946,7,27
547,0,Barisal,1946,8,28
548,0,Barisal,1946,9,28
549,0,Barisal,1946,10,26
550,0,Barisal,1946,11,23
551,0,Barisal,1946,12,20
552,0,Barisal,1947,1,18
553,0,Barisal,1947,2,20
554,0,Barisal,1947,3,25
555,0,Barisal,1947,4,28
556,0,Barisal,1947,5,28
